created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Jun 29 00:45:47 +0000 2022;1541945995520532485;"Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 29 Juni 2022 https://t.co/tskY88E4bV";0;0;0;0;in;1442122733886664704;1541945995520532485;Zyanpatra;https://twitter.com/Zyanpatra/status/1541945995520532485
Tue Jun 28 11:42:57 +0000 2022;1541748986645581824;"Vaksin ini merupakan karya asli dari peneliti dan Industri Farmasi di Indonesia yang dikembangkan dari hulu atau awal tahapan pengembangan suatu vaksin baru dengan menggunakan Virus SARS-CoV-2 yang diisolasi dari pasien COVID-19 di Surabaya.";0;1;0;1;in;1871035531;1541748974683443200;BPOM_RI;https://twitter.com/BPOM_RI/status/1541748986645581824
Tue Jun 28 09:42:12 +0000 2022;1541718597365821440;"#BeritaJatim  Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 28 Juni 2022 #infovaksin #jadwalvaksin #vaksinboostersurabaya https://t.co/8fxBwnW4N0";0;0;0;0;in;79130206;1541718597365821440;jpnncom;https://twitter.com/jpnncom/status/1541718597365821440
Tue Jun 28 01:21:44 +0000 2022;1541592652235153408;"Kasus Covid-19 naik kembali di Surabaya, warga diharapkan untuk tetap patuhi prokes terlebih kini ada subvarian baru Omicron BA.4 dan BA.5. Tetap disiplin Prokes dan segera lengkapi dosis Vaksin Covid-19  #TetapDisiplinTerapkanProkes Rangkaian Hari Bhayangkara https://t.co/oCQFTLGQgF";2;11;16;17;in;1408300530540040192;1541592652235153408;Andiriego_;https://twitter.com/Andiriego_/status/1541592652235153408
Tue Jun 28 00:43:31 +0000 2022;1541583033681080320;"Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 28 Juni 2022 https://t.co/wUMdSXyItB";0;0;0;0;in;1442122733886664704;1541583033681080320;Zyanpatra;https://twitter.com/Zyanpatra/status/1541583033681080320
Mon Jun 27 11:11:04 +0000 2022;1541378575902724098;"BPOM: Vaksin Merah Putih Pakai Virus dari Pasien Covid-19 di Surabaya https://t.co/qwn14WMVoA https://t.co/Bmh0kihaTP";0;0;0;0;in;2938810998;1541378575902724098;naturapersada;https://twitter.com/naturapersada/status/1541378575902724098
Mon Jun 27 02:53:41 +0000 2022;1541253406756851712;"#BeritaJatim  Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 27 Juni 2022 #infovaksin #jadwalvaksin #vaksinasiboostersurabaya https://t.co/BLLdjvIOUl";0;0;0;0;in;79130206;1541253406756851712;jpnncom;https://twitter.com/jpnncom/status/1541253406756851712
Mon Jun 27 02:24:45 +0000 2022;1541246122202636291;"Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 27 Juni 2022 https://t.co/hWANu64LBl";0;0;0;0;in;1442122733886664704;1541246122202636291;Zyanpatra;https://twitter.com/Zyanpatra/status/1541246122202636291
Sun Jun 26 15:11:34 +0000 2022;1541076711789297664;"Ato yg paling baru masalah vaksin untuk Covid-19. Di saat temen-temen dan keluarga di Surabaya mendapatkan fasilitas vaksin di tiap kelurahan, bahkan RW, di Solo saya masih butuh bantuan orang dalam untuk mendapatkan vaksin Covid-19.";0;1;0;0;in;1467859069465546754;1541075874350387200;permenyupiiii;https://twitter.com/permenyupiiii/status/1541076711789297664
Sat Jun 25 05:25:34 +0000 2022;1540566853533470720;"#BeritaJatim  Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 25 Juni 2022 #infovaksin #jadwalvaksin #vaksinasiboostersurabaya https://t.co/T9aHGOszfJ";0;0;0;0;in;79130206;1540566853533470720;jpnncom;https://twitter.com/jpnncom/status/1540566853533470720
Sat Jun 25 03:44:37 +0000 2022;1540541446637379585;"Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 25 Juni 2022 https://t.co/4tYpW4wQf7";0;0;0;0;in;1442122733886664704;1540541446637379585;Zyanpatra;https://twitter.com/Zyanpatra/status/1540541446637379585
Fri Jun 24 13:14:58 +0000 2022;1540322591831109632;"positif COVID-19 disebabkan oleh penerapan prokes mulai longgar di masyarakat. Maka dari itu, Nanik mengingatkan warga untuk tetap menjaga prokes. Adapun Fasilitas bagi warga Surabaya, Vaksin booster mudah didapatkan di Surabaya. Baik di Puskesmas maupun di pusat perbelanjaan.";0;0;0;0;in;1537789887251812352;1540319830175531008;Kelompok2D;https://twitter.com/Kelompok2D/status/1540322591831109632
Fri Jun 24 13:10:17 +0000 2022;1540321412845805568;"Angka positif terjangkit COVID-19 di Kota Surabaya kembali meningkat pekan ini. Pemerintah Kota Surabaya  menghimbau warga Surabaya untuk segera mendaftarkan diri di Puskesmas Terdekat untuk vaksin booster. Kepala Dinkes Surabaya, Nanik Sukristina Mengatakan, peningkatan angka";0;1;0;0;in;1537789887251812352;1540319830175531008;Kelompok2D;https://twitter.com/Kelompok2D/status/1540321412845805568
